日期,小时,预警等级,预测价差(元/MWh),是否预警,class_code,实际价差(元/MWh),方向核对,套利时机,套利结果,套利盈亏(元/MWh)
2026-08-04,10:00,正常,,否,2,,待实际,观望,待实际,
2026-08-04,11:00,正偏差,58.13,是,3,,待实际,日前卖,待实际,
2026-08-04,12:00,正常,,否,2,,待实际,观望,待实际,
2026-08-04,13:00,正偏差,66.76,是,3,,待实际,日前卖,待实际,
2026-08-04,14:00,正偏差,66.36,是,3,,待实际,日前卖,待实际,
2026-08-04,15:00,正偏差,76.92,是,3,,待实际,日前卖,待实际,
2026-08-04,16:00,正偏差,86.14,是,3,,待实际,日前卖,待实际,
2026-08-04,17:00,正常,,否,2,,待实际,观望,待实际,
2026-08-04,18:00,正常,,否,2,,待实际,观望,待实际,
2026-08-04,19:00,负偏差,-59.31,是,1,,待实际,日前买,待实际,
2026-08-04,20:00,正常,,否,2,,待实际,观望,待实际,
2026-08-04,21:00,正常,,否,2,,待实际,观望,待实际,
2026-08-04,22:00,负偏差,-57.83,是,1,,待实际,日前买,待实际,
2026-08-04,23:00,正常,,否,2,,待实际,观望,待实际,
2026-08-05,00:00,正常,,否,2,,待实际,观望,待实际,
2026-08-05,01:00,正常,,否,2,,待实际,观望,待实际,
2026-08-05,02:00,正常,,否,2,,待实际,观望,待实际,
2026-08-05,03:00,正常,,否,2,,待实际,观望,待实际,
2026-08-05,04:00,正常,,否,2,,待实际,观望,待实际,
2026-08-05,05:00,正常,,否,2,,待实际,观望,待实际,
2026-08-05,06:00,正常,,否,2,,待实际,观望,待实际,
2026-08-05,07:00,正常,,否,2,,待实际,观望,待实际,
2026-08-05,08:00,正常,,否,2,,待实际,观望,待实际,
2026-08-05,09:00,正常,,否,2,,待实际,观望,待实际,
2026-08-05,10:00,正常,,否,2,,待实际,观望,待实际,
2026-08-05,11:00,正常,,否,2,,待实际,观望,待实际,
2026-08-05,12:00,正常,,否,2,,待实际,观望,待实际,
2026-08-05,13:00,正常,,否,2,,待实际,观望,待实际,
2026-08-05,14:00,正偏差,59.51,是,3,,待实际,日前卖,待实际,
2026-08-05,15:00,正偏差,81.48,是,3,,待实际,日前卖,待实际,
2026-08-05,16:00,正偏差,66.98,是,3,,待实际,日前卖,待实际,
2026-08-05,17:00,正常,,否,2,,待实际,观望,待实际,
2026-08-05,18:00,正常,,否,2,,待实际,观望,待实际,
2026-08-05,19:00,正常,,否,2,,待实际,观望,待实际,
2026-08-05,20:00,正常,,否,2,,待实际,观望,待实际,
2026-08-05,21:00,正常,,否,2,,待实际,观望,待实际,
2026-08-05,22:00,负偏差,-73.11,是,1,,待实际,日前买,待实际,
2026-08-05,23:00,负偏差,-53.26,是,1,,待实际,日前买,待实际,
